concept_id,canonical_label,aliases,parent,category,tags,visual_description
a181ff04-3bc2-5724-b2df-04c875cf0df4,t-shirt,tshirt|tee shirt,clothing,clothing,tops|casual,short-sleeve plain cotton t-shirt
135a993a-0b8d-55f8-807e-82e2a648ee0d,dress shirt,button-up shirt|formal shirt,clothing,clothing,tops|formal,collared button-front formal shirt
32dd4dbf-d546-52a0-b388-a82b97dc87e8,blouse,women's blouse,clothing,clothing,tops|women,lightweight women's fabric blouse
93a6f07d-8a24-514d-abd6-20943c8633ce,sweater,pullover|jumper,clothing,clothing,tops|winter,knit crew-neck pullover sweater
3587268f-6e4f-570e-a4af-2cd87c274a30,hoodie,hooded sweatshirt,clothing,clothing,tops|casual,fleece hooded pullover sweatshirt
f5922087-d129-5a60-aecf-90222d45fd82,jacket,casual jacket,clothing,clothing,tops|outerwear,casual lightweight zip-up jacket
aa205cd4-87f9-5d2d-8d57-7701112222d1,blazer,sport coat|suit jacket,clothing,clothing,tops|formal,tailored single-button front blazer
4240edcb-ca06-5b3f-abd2-149ba2a18fa6,coat,winter coat|overcoat,clothing,clothing,tops|outerwear|winter,long heavy belted overcoat
eedd347d-d0ff-58d3-a192-e390dc96ba83,trench coat,mac coat,clothing,clothing,tops|outerwear,double-breasted belted trench coat
d1967592-193a-59fe-91f2-ae0bb4c3212a,raincoat,waterproof jacket|anorak,clothing,clothing,tops|outerwear,hooded waterproof rain jacket
382e058f-63a8-5ec8-97fb-61b546073fd1,parka,padded jacket|down jacket,clothing,clothing,tops|outerwear|winter,insulated hooded winter parka
55298b93-8206-56d0-bc81-178c1d44cc1a,vest,waistcoat|gilet,clothing,clothing,tops|formal,sleeveless formal waistcoat vest
1681c177-de4c-518c-a45b-02705d8dc07f,tank top,sleeveless top|singlet,clothing,clothing,tops|casual,sleeveless fitted ribbed tank top
c7164987-9053-5a87-8484-2f1e79a6ef81,polo shirt,polo|golf shirt,clothing,clothing,tops|smart_casual,short-sleeve collared polo shirt
6a273c28-f9f7-56b6-840f-22681bd59786,cardigan,knit cardigan|open cardigan,clothing,clothing,tops|casual,open-front knit button cardigan
