concept_id,canonical_label,aliases,parent,category,tags,visual_description
26ac4f17-90b1-5bbb-9aa8-bec69236660b,floor lamp,standing lamp|torchiere,household,household,lighting,tall freestanding floor lamp
1daf5359-63c5-52c3-97b4-bf908501fcc2,table lamp,bedside lamp,household,household,lighting,small base-and-shade table lamp
4fd8622b-14f7-5273-bd31-8085aad667a2,desk lamp,reading lamp|adjustable lamp,household,household,lighting|electronics,adjustable arm LED desk lamp
0b892b0c-608d-5f07-9d18-8a79441de17d,wall lamp,wall sconce|sconce light,household,household,lighting,wall-mounted decorative light sconce
c9174c4c-0fbc-5325-ad20-2602e82ce7c0,chandelier,ceiling chandelier,household,household,lighting,hanging multi-arm ceiling chandelier
73e044d5-5ac3-5f07-bdb5-479ed26b3143,lamp shade,light shade,household,household,lighting,fabric or glass lampshade cover
9f217034-f718-543e-b4a2-f57338f7f120,lightbulb,light bulb|bulb,household,household,lighting|electronics,glass screw-base light bulb
6b1bc931-c801-581d-b884-a8492b3f314d,candle,wax candle|pillar candle,household,household,lighting|decor,cylindrical wax pillar candle
125d3839-07a1-5f95-8482-34b76881807a,candleholder,candle holder|candlestick,household,household,lighting|decor,metal or ceramic candle holder
3fba834f-8760-57e0-9cca-4ae39fd6aec4,flashlight,torch|hand torch,household,household,lighting|portable,cylindrical handheld battery flashlight
6f173d5c-14af-56af-9a10-debb26adfcf6,lantern,outdoor lantern|garden lantern,household,household,lighting,hanging glass-panel metal lantern
0fc55e0d-0107-562b-9974-0c3afd8de541,ceiling fan,overhead fan,household,household,climate,white ceiling-mounted rotating fan
fe84824b-1743-5965-84c8-08ff6fa881c0,standing fan,pedestal fan|tower fan,household,household,climate,tall freestanding electric pedestal fan
4fe2512b-496e-5fa0-88ca-e7d4587eca15,air conditioner,ac unit|split ac,household,household,climate|electronics,wall-mount indoor air conditioning unit
17a8dd29-11b7-5b3f-b022-e3f79aaad469,space heater,electric heater|portable heater,household,household,climate|electronics,compact electric portable space heater
b8c59edd-2079-54d6-b38d-d7777e7ac71b,humidifier,room humidifier,household,household,climate|electronics,cylindrical countertop ultrasonic humidifier
aa646373-e7c8-51ea-8c29-73b1995b2cbd,wall clock,wall hanging clock,household,household,timekeeping,round analog face wall clock
3b874fdc-4678-5b6a-bd7b-e9eb538d9658,bedside clock,bedside alarm clock|sleep clock,household,household,timekeeping,small analog or digital bedside clock
23c996bb-dfc2-5908-9fe7-c4af6320f50c,hourglass,sand timer|egg timer,household,household,timekeeping,glass hourglass with wooden frame
3b3f8dc9-d230-5089-afd9-e7c5ccbd3ddb,picture frame,photo frame,household,household,decor,rectangular glass-front picture frame
a382d086-964a-5395-b9ef-d4f33f41d72e,vase,flower vase|ceramic vase,household,household,decor,tall ceramic or glass flower vase
334c54b5-9e99-5b0d-852f-2dedfe2a4633,flower pot,flowerpot|planter pot,household,household,decor,terracotta or plastic plant pot
8c59620c-7082-51a4-bb02-3251572f791d,painting,framed painting|wall art,household,household,decor,canvas framed wall painting
02ec9404-f94d-5b49-a9d0-cf5119a7193f,wind chime,garden chime,household,household,decor,hanging metal or bamboo wind chime
a02ec9a6-ad39-58c3-a138-0cc0484a55e9,pillow,throw pillow|bed pillow,household,household,linens,soft square or rectangular pillow
0cafd969-dea0-5a8b-a5d2-615868623750,blanket,throw blanket|fleece blanket,household,household,linens,soft woven or fleece blanket
88608c6a-2faa-5b0f-99f8-190a03cb0fa1,cushion,sofa cushion|seat cushion,household,household,linens,square fabric-covered sofa cushion
5ae2a752-804e-55cc-9028-abc79a18f018,bed sheet,fitted sheet|flat sheet,household,household,linens,flat or fitted cotton bed sheet
5e8ef050-8743-5fb7-9f0e-1e131b0c115b,quilt,comforter|duvet,household,household,linens,thick padded fabric quilt
1bcff3b7-7c97-51ab-8f7f-1ecfd1500810,rug,floor rug|area rug,household,household,linens,rectangular patterned floor area rug
149d0453-a632-58e1-8e05-c895da48dd2e,curtain,window curtain|drape,household,household,linens,long hanging window curtain panel
312c80af-d887-56f1-979e-30543e8a6f2b,window blind,venetian blind|roller blind,household,household,decor,slatted or rolled window blind
1cf8bb39-0e42-550d-956e-18c01719320f,door mat,doormat|welcome mat,household,household,home,flat rubber or coir door mat
2126ec9b-384c-5cc7-bf17-55d17a811036,storage box,storage bin|plastic bin,household,household,storage,rectangular lidded storage box
3ce83ba6-f286-503d-ab3b-bfe2565ddeec,laundry basket,clothes hamper|laundry hamper,household,household,storage,woven or plastic laundry basket
15000071-0f2e-57c7-bdde-98bc4a3163f7,clothes hanger,coat hanger|wire hanger,household,household,storage|clothing,curved plastic or wooden clothes hanger
43b8f418-eb4e-540b-86fd-014ae262359b,umbrella,rain umbrella,household,household,accessories,folding or full-size rain umbrella
67b2d385-8994-5492-8cdc-d27c8585607d,indoor trash can,waste bin|rubbish bin|indoor bin,household,household,cleaning,round plastic indoor trash bin
dc740c74-17b1-58c1-bd7f-8b513d271a25,fire extinguisher,extinguisher,household,household,safety,red cylinder fire extinguisher
